Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Idaho,Both,All Ages,1999,2017,Suicide Firearm,2001,136,1319962,10.3,10.56385808
Both Sexes,All Races,Illinois,Both,All Ages,1999,2017,Suicide Firearm,2001,505,12488445,4.04,4.07513065
Both Sexes,All Races,Indiana,Both,All Ages,1999,2017,Suicide Firearm,2001,411,6127760,6.71,6.712194432
Both Sexes,All Races,Iowa,Both,All Ages,1999,2017,Suicide Firearm,2001,157,2931997,5.35,5.208496179
Both Sexes,All Races,Kansas,Both,All Ages,1999,2017,Suicide Firearm,2001,160,2702162,5.92,5.973120821
Both Sexes,All Races,Kentucky,Both,All Ages,1999,2017,Suicide Firearm,2001,331,4068132,8.14,8.012010362
Both Sexes,All Races,Louisiana,Both,All Ages,1999,2017,Suicide Firearm,2001,352,4477875,7.86,8.011682067
Both Sexes,All Races,Maine,Both,All Ages,1999,2017,Suicide Firearm,2001,86,1285692,6.69,6.31394027
Both Sexes,All Races,Maryland,Both,All Ages,1999,2017,Suicide Firearm,2001,220,5374691,4.09,4.114669853
Both Sexes,All Races,Massachusetts,Both,All Ages,1999,2017,Suicide Firearm,2001,107,6397634,1.67,1.626592779
Both Sexes,All Races,Michigan,Both,All Ages,1999,2017,Suicide Firearm,2001,542,9991120,5.42,5.438666871
Both Sexes,All Races,Minnesota,Both,All Ages,1999,2017,Suicide Firearm,2001,242,4982796,4.86,4.849422591
Both Sexes,All Races,Mississippi,Both,All Ages,1999,2017,Suicide Firearm,2001,239,2852994,8.38,8.556573195
Both Sexes,All Races,Missouri,Both,All Ages,1999,2017,Suicide Firearm,2001,427,5641142,7.57,7.483646686
Both Sexes,All Races,Montana,Both,All Ages,1999,2017,Suicide Firearm,2001,133,906961,14.66,14.65618312
Both Sexes,All Races,Nebraska,Both,All Ages,1999,2017,Suicide Firearm,2001,107,1719836,6.22,6.198198616
Both Sexes,All Races,Nevada,Both,All Ages,1999,2017,Suicide Firearm,2001,219,2098399,10.44,10.5830199
Both Sexes,All Races,New Hampshire,Both,All Ages,1999,2017,Suicide Firearm,2001,79,1255517,6.29,6.278032231
Both Sexes,All Races,New Jersey,Both,All Ages,1999,2017,Suicide Firearm,2001,167,8492671,1.97,1.924264119
Both Sexes,All Races,New Mexico,Both,All Ages,1999,2017,Suicide Firearm,2001,188,1831690,10.26,10.53490206
Both Sexes,All Races,New York,Both,All Ages,1999,2017,Suicide Firearm,2001,453,19082838,2.37,2.334963221
Both Sexes,All Races,North Carolina,Both,All Ages,1999,2017,Suicide Firearm,2001,632,8210122,7.7,7.609594197
Both Sexes,All Races,North Dakota,Both,All Ages,1999,2017,Suicide Firearm,2001,41,639062,6.42,6.596555193
Both Sexes,All Races,Ohio,Both,All Ages,1999,2017,Suicide Firearm,2001,671,11387404,5.89,5.820499483
