"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","259","8230053","3.15","3.12098890520833"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","100","1211479","8.25","8.14616165289942"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","60","1299474","4.62","4.6335217820984"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","572","12437888","4.6","4.62197438837644"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","272","6091392","4.47","4.48187822630704"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","132","2928046","4.51","4.52982253527151"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","139","2692681","5.16","5.2308890608199"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","148","4048831","3.66","3.62158575765359"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","142","4468879","3.18","3.21914194401048"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","56","1277179","4.38","4.42153890272709"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","229","5310451","4.31","4.28526414926519"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","282","6362583","4.43","4.34665019521967"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","443","9955146","4.45","4.45745867851188"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","217","4933787","4.4","4.35976331156101"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","74","2848293","2.6","2.68126365978096"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","265","5605868","4.73","4.76270899362988"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","51","903283","5.65","5.68527665907169"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","78","1713194","4.55","4.540129505795"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","159","2018244","7.88","7.78168118135434"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","64","1240361","5.16","4.95791371215702"
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","406","8430913","4.82","4.74738116828964"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","152","1820704","8.35","8.46957050536388"
"Both Sexes","All Races","New York","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","682","18998429","3.59","3.55260084232759"
